171.93,0.14
129.30,0.60
112.53,0.54
111.82,0.34
142.79,0.65
112.65,0.54
238.73,0.89
113.03,0.54
106.64,0.37
109.49,0.52
184.11,0.11
135.40,0.25
104.86,0.49
132.99,0.25
102.88,0.40
115.61,0.32
101.90,0.43
190.71,0.78
101.86,0.44
195.87,0.79
202.75,0.81
120.41,0.57
152.03,0.20
107.19,0.36
131.37,0.26
183.99,0.11
102.69,0.46
118.50,0.31
110.39,0.34
151.34,0.67
198.44,0.80
135.92,0.63
174.86,0.74
212.54,0.83
144.51,0.65
105.71,0.50
241.94,0.90
178.92,0.75
141.36,0.64
107.68,0.36
188.49,0.77
101.91,0.43
102.83,0.47
165.39,0.71
155.69,0.68
102.62,0.41
106.72,0.37
218.53,0.84
102.68,0.46
213.92,0.83
195.12,0.79
154.84,0.68
161.84,0.17
184.57,0.11
124.28,0.59
115.01,0.32
141.34,0.64
143.50,0.65
123.42,0.29
103.25,0.40
160.19,0.17
172.42,0.14
103.18,0.47
206.47,0.82
172.13,0.73
121.80,0.58
171.15,0.73
120.07,0.57
126.59,0.59
102.19,0.42
105.18,0.49
104.40,0.48
101.98,0.45
126.66,0.59
136.80,0.24
101.82,0.44
163.91,0.71
103.14,0.47
143.07,0.22
178.50,0.12
133.53,0.62
231.46,0.88
130.80,0.26
110.86,0.34
226.77,0.86
237.94,0.89
177.89,0.74
114.23,0.54
199.12,0.80
175.26,0.74
136.76,0.24
111.72,0.53
105.41,0.38
176.80,0.13
112.20,0.34
161.56,0.70
161.38,0.70
197.68,0.79
224.37,0.86
112.81,0.33
